Well	mode	wavelength	abs
B1	Absorbance	560.0	1.1051000356674194
B2	Absorbance	560.0	1.0591000318527222
B3	Absorbance	560.0	1.007200002670288
B4	Absorbance	560.0	0.9663000106811523
B5	Absorbance	560.0	0.9194999933242798
B6	Absorbance	560.0	0.8766000270843506
B7	Absorbance	560.0	0.8317999839782715
B8	Absorbance	560.0	0.7892000079154968
B9	Absorbance	560.0	0.7199000120162964
B10	Absorbance	560.0	0.6614000201225281
B11	Absorbance	560.0	0.5982000231742859
B12	Absorbance	560.0	0.47350001335144043
C1	Absorbance	560.0	1.052899956703186
C2	Absorbance	560.0	1.0255000591278076
C3	Absorbance	560.0	1.0108000040054321
C4	Absorbance	560.0	0.9731000065803528
C5	Absorbance	560.0	0.9284999966621399
C6	Absorbance	560.0	0.8833000063896179
C7	Absorbance	560.0	0.835099995136261
C8	Absorbance	560.0	0.8021000027656555
C9	Absorbance	560.0	0.7335000038146973
C10	Absorbance	560.0	0.6800000071525574
C11	Absorbance	560.0	0.6110000014305115
C12	Absorbance	560.0	0.4754999876022339
D1	Absorbance	560.0	1.0490000247955322
D2	Absorbance	560.0	0.9757000207901001
D3	Absorbance	560.0	0.9496999979019165
D4	Absorbance	560.0	0.9180999994277954
D5	Absorbance	560.0	0.8833000063896179
D6	Absorbance	560.0	0.8382999897003174
D7	Absorbance	560.0	0.7860000133514404
D8	Absorbance	560.0	0.71670001745224
D9	Absorbance	560.0	0.6482999920845032
D10	Absorbance	560.0	0.576200008392334
D11	Absorbance	560.0	0.5152999758720398
D12	Absorbance	560.0	0.38749998807907104
E1	Absorbance	560.0	0.9818000197410583
E2	Absorbance	560.0	0.9343000054359436
E3	Absorbance	560.0	0.88919997215271
E4	Absorbance	560.0	0.85589998960495
E5	Absorbance	560.0	0.8176000118255615
E6	Absorbance	560.0	0.7675999999046326
E7	Absorbance	560.0	0.7156999707221985
E8	Absorbance	560.0	0.6586999893188477
E9	Absorbance	560.0	0.6011999845504761
E10	Absorbance	560.0	0.5450999736785889
E11	Absorbance	560.0	0.4830999970436096
E12	Absorbance	560.0	0.3540000021457672
F1	Absorbance	560.0	0.9293000102043152
F2	Absorbance	560.0	0.8840000033378601
F3	Absorbance	560.0	0.8355000019073486
F4	Absorbance	560.0	0.8026000261306763
F5	Absorbance	560.0	0.7615000009536743
F6	Absorbance	560.0	0.7069000005722046
F7	Absorbance	560.0	0.6460999846458435
F8	Absorbance	560.0	0.6053000092506409
F9	Absorbance	560.0	0.5378999710083008
F10	Absorbance	560.0	0.48420000076293945
F11	Absorbance	560.0	0.4185999929904938
F12	Absorbance	560.0	0.290800005197525
G1	Absorbance	560.0	0.8867999911308289
G2	Absorbance	560.0	0.8237000107765198
G3	Absorbance	560.0	0.7806000113487244
G4	Absorbance	560.0	0.7458999752998352
G5	Absorbance	560.0	0.7028999924659729
G6	Absorbance	560.0	0.651199996471405
G7	Absorbance	560.0	0.5946000218391418
G8	Absorbance	560.0	0.5385000109672546
G9	Absorbance	560.0	0.47130000591278076
G10	Absorbance	560.0	0.4156999886035919
G11	Absorbance	560.0	0.3499999940395355
G12	Absorbance	560.0	0.22450000047683716
H1	Absorbance	560.0	0.7865999937057495
